#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
LOXL2	MAOB	992846	991745	ENSP00000373783	ENSP00000367309	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.787	0.787
TRPC3	TRPC7	992050	979564	ENSP00000368966	ENSP00000265193	0.000	0.000	0.000	0.966	0.000	0.552	0.000	0.891	0.565
KAT5	CUL3	986926	979386	ENSP00000340330	ENSP00000264414	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.273	0.922
NUP98	NUP153	984122	978875	ENSP00000316032	ENSP00000262077	0.000	0.000	0.000	0.000	0.248	0.000	0.000	0.969	0.975
GTPBP4	RPL38	988936	983452	ENSP00000354040	ENSP00000309830	0.000	0.000	0.000	0.000	0.000	0.622	0.000	0.000	0.622
CCT4	PSMA3	993418	976213	ENSP00000377958	ENSP00000216455	0.000	0.000	0.241	0.000	0.329	0.000	0.000	0.000	0.456
KPNB1	NUP153	981200	978875	ENSP00000290158	ENSP00000262077	0.000	0.000	0.000	0.000	0.000	0.978	0.900	0.520	0.998
RPL7A	RPL27	990476	977996	ENSP00000361076	ENSP00000253788	0.000	0.000	0.000	0.000	0.833	0.615	0.900	0.000	0.992
RPL38	RPL36	983452	977875	ENSP00000309830	ENSP00000252543	0.000	0.000	0.000	0.000	0.664	0.425	0.900	0.000	0.978
BUB1B	PSMA6	981056	978721	ENSP00000287598	ENSP00000261479	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.034	0.899
PLA2G5	PAK1	991133	980508	ENSP00000364249	ENSP00000278568	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.471	0.470
PSMC5	PSMD2	983541	983484	ENSP00000310572	ENSP00000310129	0.000	0.000	0.000	0.000	0.632	0.999	0.900	0.232	0.999
RPA1	USP11	978067	976325	ENSP00000254719	ENSP00000218348	0.000	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.675
BUB1B	PSMA3	981056	976213	ENSP00000287598	ENSP00000216455	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.034	0.899
IL17RA	TNFRSF13C	984653	981271	ENSP00000320936	ENSP00000291232	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.401	0.401
PSMB4	PSMA6	981232	978721	ENSP00000290541	ENSP00000261479	0.000	0.000	0.000	0.000	0.468	0.734	0.900	0.451	0.990
GUCY1B2	HESX1	991774	981676	ENSP00000367414	ENSP00000295934	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.485	0.485
LAMA1	EGFR	992890	980366	ENSP00000374309	ENSP00000275493	0.000	0.000	0.000	0.413	0.000	0.000	0.900	0.035	0.899
PRPF31	NUP98	985014	984122	ENSP00000324122	ENSP00000316032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.531	0.530
FHL2	EGFR	984878	980366	ENSP00000322909	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.394	0.000	0.135	0.440
SALL2	GP1BA	986130	985602	ENSP00000333537	ENSP00000329380	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.405	0.405
MAFK	PSMC5	987571	983541	ENSP00000344903	ENSP00000310572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.962	0.962
PSMC5	PSMA6	983541	978721	ENSP00000310572	ENSP00000261479	0.000	0.000	0.000	0.000	0.089	0.182	0.900	0.067	0.915
XAB2	POLR2C	988481	976357	ENSP00000351137	ENSP00000219252	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.314	0.926
SOCS7	EGFR	985764	980366	ENSP00000330659	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.543	0.000	0.296	0.657
NUP62	KPNB1	982902	981200	ENSP00000305503	ENSP00000290158	0.000	0.000	0.000	0.000	0.089	0.886	0.900	0.220	0.990
CUL3	RBX1	979386	976180	ENSP00000264414	ENSP00000216225	0.000	0.000	0.000	0.000	0.000	0.992	0.900	0.780	0.999
KPNA2	PSMD2	985995	983484	ENSP00000332455	ENSP00000310129	0.000	0.000	0.000	0.000	0.189	0.000	0.000	0.480	0.549
POLL	PSMA6	982116	978721	ENSP00000299206	ENSP00000261479	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.589	0.589
PSMD2	PSMD7	983484	976364	ENSP00000310129	ENSP00000219313	0.000	0.000	0.000	0.000	0.285	0.973	0.900	0.067	0.997
IL17RA	IL26	984653	976846	ENSP00000320936	ENSP00000229134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.662	0.662
POLR2C	SNRPD3	976357	976119	ENSP00000219252	ENSP00000215829	0.000	0.000	0.000	0.000	0.240	0.000	0.900	0.015	0.918
KCNF1	TSG101	981548	977825	ENSP00000295082	ENSP00000251968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.408	0.408
GPR132	P2RY1	985532	982827	ENSP00000328818	ENSP00000304767	0.000	0.000	0.000	0.800	0.000	0.000	0.900	0.000	0.899
KPNA2	RACGAP1	985995	983456	ENSP00000332455	ENSP00000309871	0.000	0.000	0.000	0.000	0.674	0.000	0.000	0.399	0.790
RPL38	RPL27	983452	977996	ENSP00000309830	ENSP00000253788	0.000	0.000	0.000	0.000	0.827	0.268	0.900	0.000	0.985
POLL	RPA1	982116	978067	ENSP00000299206	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.545	0.815
XAB2	RBX1	988481	976180	ENSP00000351137	ENSP00000216225	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.564	0.563
PSMA1	PSMC3	984052	982074	ENSP00000315309	ENSP00000298852	0.000	0.000	0.000	0.000	0.192	0.148	0.900	0.063	0.921
PSMA6	PSMD7	978721	976364	ENSP00000261479	ENSP00000219313	0.000	0.000	0.000	0.000	0.137	0.742	0.900	0.062	0.974
PSMA1	NUP153	984052	978875	ENSP00000315309	ENSP00000262077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.683	0.683
PSMD2	PSMB3	983484	976667	ENSP00000310129	ENSP00000225426	0.000	0.000	0.000	0.000	0.546	0.000	0.900	0.067	0.951
KPNA2	NUP98	985995	984122	ENSP00000332455	ENSP00000316032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.447	0.446
CXCL13	CCL21	981010	978490	ENSP00000286758	ENSP00000259607	0.000	0.000	0.000	0.000	0.000	0.620	0.900	0.971	0.998
PSMA1	PSMB4	984052	981232	ENSP00000315309	ENSP00000290541	0.000	0.000	0.000	0.000	0.577	0.999	0.900	0.442	0.999
PSMC3	PSMA6	982074	978721	ENSP00000298852	ENSP00000261479	0.000	0.000	0.000	0.000	0.000	0.219	0.900	0.063	0.916
PSMD2	ZNRF4	983484	976518	ENSP00000310129	ENSP00000222033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.586	0.585
RXFP4	FPR1	989656	982573	ENSP00000357301	ENSP00000302707	0.000	0.000	0.000	0.799	0.000	0.000	0.900	0.000	0.899
PRKAR1A	PSMA3	988528	976213	ENSP00000351410	ENSP00000216455	0.000	0.000	0.000	0.000	0.294	0.000	0.000	0.429	0.569
EGFR	TSG101	980366	977825	ENSP00000275493	ENSP00000251968	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.712	0.969
HCK	TSG101	991294	977825	ENSP00000365012	ENSP00000251968	0.000	0.000	0.000	0.000	0.000	0.429	0.000	0.000	0.429
NACA	CCT2	996481	982130	ENSP00000403817	ENSP00000299300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.566	0.565
CCT4	FES	993418	985854	ENSP00000377958	ENSP00000331504	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.462	0.462
PSMA3	PSMC4	976213	975847	ENSP00000216455	ENSP00000157812	0.000	0.000	0.000	0.000	0.074	0.166	0.900	0.061	0.912
MYLIP	LIPG	988193	978675	ENSP00000349298	ENSP00000261292	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.468	0.468
GPR132	NPFFR1	985532	980473	ENSP00000328818	ENSP00000277942	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
SMARCA4	RPA1	988427	978067	ENSP00000350720	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.538	0.000	0.158	0.585
FES	EGFR	985854	980366	ENSP00000331504	ENSP00000275493	0.000	0.000	0.000	0.666	0.000	0.240	0.000	0.725	0.419
RPL38	SNRPD3	983452	976119	ENSP00000309830	ENSP00000215829	0.000	0.000	0.000	0.000	0.000	0.436	0.000	0.000	0.436
PA2G4	EGFR	982597	980366	ENSP00000302886	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.694	0.694
NUP153	SNRPD3	978875	976119	ENSP00000262077	ENSP00000215829	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
LOXL2	SMOX	992846	983127	ENSP00000373783	ENSP00000307252	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.696	0.696
KPNA2	KPNB1	985995	981200	ENSP00000332455	ENSP00000290158	0.000	0.000	0.000	0.000	0.199	0.989	0.000	0.871	0.998
LYST	ESRRA	992903	975675	ENSP00000374443	ENSP00000000442	0.000	0.000	0.000	0.000	0.000	0.586	0.000	0.000	0.585
PSMA1	CCT2	984052	982130	ENSP00000315309	ENSP00000299300	0.000	0.000	0.412	0.000	0.493	0.000	0.000	0.000	0.681
CCT2	HSPB8	982130	980708	ENSP00000299300	ENSP00000281938	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.547	0.547
PSMD2	PSMC4	983484	975847	ENSP00000310129	ENSP00000157812	0.000	0.000	0.000	0.000	0.461	0.808	0.900	0.061	0.988
PRKAR1A	CUL3	988528	979386	ENSP00000351410	ENSP00000264414	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.464	0.463
PSMC5	CAD	983541	979447	ENSP00000310572	ENSP00000264705	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.403	0.402
PSMC5	BUB1B	983541	981056	ENSP00000310572	ENSP00000287598	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.271	0.922
RPL7A	ABCE1	990476	981799	ENSP00000361076	ENSP00000296577	0.000	0.000	0.000	0.000	0.424	0.302	0.000	0.000	0.571
NUP153	USP11	978875	976325	ENSP00000262077	ENSP00000218348	0.000	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.675
POLA1	RPA1	991939	978067	ENSP00000368349	ENSP00000254719	0.000	0.000	0.000	0.000	0.337	0.620	0.000	0.281	0.793
PSMD2	PSMC3	983484	982074	ENSP00000310129	ENSP00000298852	0.000	0.000	0.000	0.000	0.422	0.472	0.900	0.067	0.965
LCK	EGFR	986625	980366	ENSP00000337825	ENSP00000275493	0.000	0.000	0.000	0.760	0.000	0.000	0.900	0.715	0.916
PROKR1	NPFFR1	982716	980473	ENSP00000303775	ENSP00000277942	0.000	0.000	0.000	0.757	0.000	0.000	0.900	0.000	0.899
PSMB3	SNRPD3	976667	976119	ENSP00000225426	ENSP00000215829	0.000	0.000	0.000	0.000	0.464	0.000	0.000	0.000	0.464
OTOF	SNAP25	980159	978096	ENSP00000272371	ENSP00000254976	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	0.455
RPL7A	RPL36	990476	977875	ENSP00000361076	ENSP00000252543	0.000	0.000	0.000	0.000	0.669	0.464	0.900	0.000	0.979
HCK	EGFR	991294	980366	ENSP00000365012	ENSP00000275493	0.000	0.000	0.000	0.759	0.000	0.000	0.900	0.285	0.905
PSMC5	PSMC4	983541	975847	ENSP00000310572	ENSP00000157812	0.000	0.000	0.525	0.917	0.346	0.999	0.900	0.888	0.999
PA2G4	PAK1	982597	980508	ENSP00000302886	ENSP00000278568	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.870	0.870
WTAP	GPR132	988483	985532	ENSP00000351141	ENSP00000328818	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.794	0.794
PSMC3	PSMA3	982074	976213	ENSP00000298852	ENSP00000216455	0.000	0.000	0.000	0.000	0.154	0.158	0.900	0.063	0.918
SNRNP70	POLR2C	976464	976357	ENSP00000221448	ENSP00000219252	0.000	0.000	0.000	0.000	0.094	0.000	0.900	0.054	0.903
EIF3C	ABCE1	986015	981799	ENSP00000332604	ENSP00000296577	0.000	0.000	0.000	0.000	0.238	0.321	0.000	0.547	0.733
NUP62	NUP153	982902	978875	ENSP00000305503	ENSP00000262077	0.000	0.000	0.000	0.000	0.000	0.548	0.900	0.986	0.999
NUP98	NUP62	984122	982902	ENSP00000316032	ENSP00000305503	0.000	0.000	0.000	0.000	0.000	0.543	0.900	0.912	0.995
CCT4	PSMA1	993418	984052	ENSP00000377958	ENSP00000315309	0.000	0.000	0.403	0.000	0.578	0.000	0.000	0.000	0.731
LOXL2	HTR3A	992846	987954	ENSP00000373783	ENSP00000347754	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.430	0.430
FHL2	IL17RE	984878	981687	ENSP00000322909	ENSP00000295980	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.470	0.469
IL17RA	IL17RE	984653	981687	ENSP00000320936	ENSP00000295980	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.756	0.756
PRX	HSPB8	985210	980708	ENSP00000326018	ENSP00000281938	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.502	0.502
ZDHHC3	ESRRA	996034	975675	ENSP00000399750	ENSP00000000442	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.603	0.603
SNRPA1	SNRPD3	978026	976119	ENSP00000254193	ENSP00000215829	0.000	0.000	0.000	0.000	0.204	0.077	0.900	0.261	0.934
SELPLG	CCL21	992823	978490	ENSP00000373614	ENSP00000259607	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.879	0.879
PSMD7	PSMA3	976364	976213	ENSP00000219313	ENSP00000216455	0.000	0.000	0.000	0.000	0.381	0.336	0.900	0.062	0.953
PRKAR1A	WNK1	988528	983846	ENSP00000351410	ENSP00000313059	0.000	0.000	0.000	0.000	0.000	0.416	0.000	0.000	0.416
PFN1	PSMB3	976685	976667	ENSP00000225655	ENSP00000225426	0.000	0.000	0.000	0.000	0.633	0.000	0.000	0.006	0.633
POLA1	POLE	991939	984840	ENSP00000368349	ENSP00000322570	0.000	0.000	0.000	0.409	0.516	0.785	0.900	0.457	0.991
PSMA6	PSMA3	978721	976213	ENSP00000261479	ENSP00000216455	0.000	0.000	0.476	0.842	0.196	0.842	0.900	0.605	0.987
ETS2	SMARCA4	988832	988427	ENSP00000353344	ENSP00000350720	0.000	0.000	0.000	0.000	0.000	0.626	0.000	0.248	0.700
CCT4	EEF1A1	993418	985688	ENSP00000377958	ENSP00000330054	0.000	0.000	0.304	0.000	0.000	0.000	0.000	0.380	0.539
CCT2	ABCE1	982130	981799	ENSP00000299300	ENSP00000296577	0.000	0.000	0.000	0.000	0.706	0.000	0.000	0.000	0.706
MAOB	HTR3A	991745	987954	ENSP00000367309	ENSP00000347754	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.430	0.430
NUP62	SNRPD3	982902	976119	ENSP00000305503	ENSP00000215829	0.000	0.000	0.000	0.000	0.124	0.000	0.900	0.000	0.906
PTPN23	TSG101	979628	977825	ENSP00000265562	ENSP00000251968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.656	0.655
EEF1A1	SUV420H2	985688	978141	ENSP00000330054	ENSP00000255613	0.000	0.000	0.000	0.000	0.000	0.548	0.000	0.038	0.548
KPNA2	NUP62	985995	982902	ENSP00000332455	ENSP00000305503	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.558	0.558
NEU1	SELPLG	997054	992823	ENSP00000408957	ENSP00000373614	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.494	0.494
PSMC5	SNRPD3	983541	976119	ENSP00000310572	ENSP00000215829	0.000	0.000	0.000	0.000	0.438	0.000	0.000	0.000	0.438
PSMB4	PSMC4	981232	975847	ENSP00000290541	ENSP00000157812	0.000	0.000	0.000	0.000	0.499	0.224	0.900	0.061	0.955
EEF1A1	MYOC	985688	975782	ENSP00000330054	ENSP00000037502	0.000	0.000	0.000	0.000	0.000	0.595	0.000	0.000	0.595
PRKAR1A	PSMA1	988528	984052	ENSP00000351410	ENSP00000315309	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.441	0.441
WDR5	PRPF31	988534	985014	ENSP00000351446	ENSP00000324122	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PSMA1	PSMD7	984052	976364	ENSP00000315309	ENSP00000219313	0.000	0.000	0.000	0.000	0.278	0.304	0.900	0.062	0.942
RAC1	PAK1	988058	980508	ENSP00000348461	ENSP00000278568	0.000	0.000	0.000	0.000	0.000	0.999	0.800	0.988	0.999
LATS2	RACGAP1	992580	983456	ENSP00000372035	ENSP00000309871	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.431	0.430
NUP98	PSMA1	984122	984052	ENSP00000316032	ENSP00000315309	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.408	0.408
PFN1	TXN2	976685	976171	ENSP00000225655	ENSP00000216185	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.448	0.447
PRKAR1A	MAFK	988528	987571	ENSP00000351410	ENSP00000344903	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.933	0.933
SNRNP70	SNRPD3	976464	976119	ENSP00000221448	ENSP00000215829	0.000	0.000	0.000	0.000	0.158	0.904	0.900	0.537	0.995
SOCS7	PSMC3	985764	982074	ENSP00000330659	ENSP00000298852	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.586	0.585
PSMA1	BUB1B	984052	981056	ENSP00000315309	ENSP00000287598	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.034	0.899
RPL7A	RPL38	990476	983452	ENSP00000361076	ENSP00000309830	0.000	0.000	0.000	0.000	0.675	0.304	0.900	0.638	0.990
PSMB3	PSMA3	976667	976213	ENSP00000225426	ENSP00000216455	0.000	0.000	0.000	0.000	0.445	0.678	0.900	0.734	0.994
PRKAR1A	PROKR1	988528	982716	ENSP00000351410	ENSP00000303775	0.000	0.000	0.000	0.000	0.000	0.531	0.000	0.000	0.530
RXFP4	CXCL13	989656	981010	ENSP00000357301	ENSP00000286758	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PPP2R1A	PPP5C	985090	975747	ENSP00000324804	ENSP00000012443	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
RAC1	EGFR	988058	980366	ENSP00000348461	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.808	0.979
RAC1	FES	988058	985854	ENSP00000348461	ENSP00000331504	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.361	0.931
PSMB4	PSMD7	981232	976364	ENSP00000290541	ENSP00000219313	0.000	0.000	0.000	0.000	0.364	0.564	0.900	0.063	0.968
NUP98	KPNB1	984122	981200	ENSP00000316032	ENSP00000290158	0.000	0.000	0.000	0.000	0.000	0.812	0.900	0.205	0.983
CUL3	PSMA3	979386	976213	ENSP00000264414	ENSP00000216455	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.064	0.900
PSMA6	PSMB3	978721	976667	ENSP00000261479	ENSP00000225426	0.000	0.000	0.000	0.000	0.414	0.688	0.900	0.535	0.989
PSMB3	PSMC4	976667	975847	ENSP00000225426	ENSP00000157812	0.000	0.000	0.000	0.000	0.607	0.000	0.900	0.061	0.958
SNRPA1	SNRNP70	978026	976464	ENSP00000254193	ENSP00000221448	0.000	0.000	0.000	0.000	0.086	0.000	0.900	0.103	0.906
GTPBP4	ABCE1	988936	981799	ENSP00000354040	ENSP00000296577	0.000	0.000	0.000	0.000	0.799	0.000	0.000	0.000	0.799
NEK10	CCL21	987429	978490	ENSP00000343847	ENSP00000259607	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.491	0.491
EEF1A1	PSMA1	985688	984052	ENSP00000330054	ENSP00000315309	0.000	0.000	0.405	0.000	0.000	0.000	0.000	0.067	0.407
XCL1	CXCL13	989546	981010	ENSP00000356792	ENSP00000286758	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.628	0.627
